,hop_sybil_cluster,gitcoin_size,hop_size,ratio,members
,0x696d181a7961ee66c42f1ebeddc0b48b106c45ad,24,34,71.0,"['0xf20bb1ea28a496db525efbad28a23003c9d73724', '0xde88d146f61463d582262a1dcdf6ea1323aba34a', '0x335d2d954cec61cb4673780300d890340a29dd99', '0xa1cad48e9844d850f066376e1f1e04147b16619e', '0x6d25a1e9e176ab058e0f19e67bcbcaac2be96fa9', '0x080a75c96bf646cd9f78aaf8c9869a510e9c68bb', '0xbcc7e64d6b522ef804450000f5bb8d944c7ddd01', '0x64b5f9dd6f23269b966a4c3717e150a6dd264851', '0xcd5c1bb777c937d993bc5e16e48b1669becc77aa', '0xcf8e24538e6e8c6d7ca711f84539aeac0892e28b', '0x61c4d254051cdbf86dc71d13070a1b6e9abc2489', '0xd2e1b76f81b71304daceec93f7d55d0a2abe2307', '0x27695076ef87e7749ee7ca387f47549ee55dade3', '0x9c72c98535224c3c045a3d27ff981ed5a1d64d6e', '0xcd75942b66c1a82d7e04f65a34ce7f93791fa8a8', '0x939bac3bad78752763be4dd1da19e8e70995a408', '0x1ac81fdcd10b27d2af73ef0f097159cdf0f0aa8a', '0x696d181a7961ee66c42f1ebeddc0b48b106c45ad', '0x12cd3dca194161fe3535755075499f115982ee63', '0x597fc897b6ab221c18cf51a31cef41285597aef1', '0x5cfc2c648ba36144644758f8d39553c0ce355fc6', '0xbb7bb43af885549f1bbf5724213ee48b40ebee83', '0x91f7c7dc5a44276482c102178fe1d620b397c276', '0xb8a9c37240e8b72f42a88f1099e6c61dc3e96756']"
,0xc50eaaee441566b4ef4f1e3270d19f24223cddf4,6,7423,0.0,"['0x600f9faa8a2d39a710b28e2d0ec8a5dacc12b00f', '0xaa6c7b556449e1d5a75b6322a256180edd1c8edc', '0xce4752074d68fddf215b403417baa90fef31bba8', '0x90ff89c637fd1537e151b8ced1d1d0cb94e31ca6', '0x88dbfc20d2f2bc004d4dde1947deda4cd478dd0d', '0x3082f27581a2449268a14af56d810cacd9984ec1']"
,0x236884bb674067c96fcbcc5dff728141e05be99d,6,9,67.0,"['0xe1d1c5f48f708aa038aa6a9976308cd1d19d951a', '0xf977bf5f5ccb1bfd868bd95d563294494f0d5d89', '0x9497243478392b1f7f508874f606379f989c6eea', '0xdd4a19dc351ba42421db282196af38b433aa86ba', '0x05ac3d28434804ec02ed9472490fc42d7e9e646d', '0x236884bb674067c96fcbcc5dff728141e05be99d']"
,0xd5688734ce9eaa87f640fd81af38f46a49eb1556,6,89,7.0,"['0xdc23f11f93926fcc94001fb7ea2a955d991fb0f7', '0x38d8f8b47017031da62509b1541990673c1d2ece', '0x42fbb0a6fd3dc64fb2799d911ba2187a2d7b5fcd', '0xe48542fa62206559e5734667064d2c04b6cda2e2', '0x7caa0c7ba1c1fd309c84d3e9ac4798e03bc16420', '0x83c9f34cf833517a749cc7c4b7f979791f65e640']"
,0xc33c77f59baa77a4f81cb6dd7ce98baf270b0ce9,5,12,42.0,"['0xb7ce368a08d06b54352c2bef09dea0cdc066b2a1', '0xf1d82cf1e2e23f7bed3af2b3e717d35ffb4cdc38', '0x71cf7c81f3a3b1bfbf0f3a22340b7ac0b3399bd4', '0xc33c77f59baa77a4f81cb6dd7ce98baf270b0ce9', '0x249ca6de88676f0fbf2eea257758a302bfc1ab56']"
,0x5d0208796bdcb2efabb0acd80b0008becce1d7d5,3,25,12.0,"['0x6ad899aea96f21c226d63e3c69ac27c25a360876', '0x5d0208796bdcb2efabb0acd80b0008becce1d7d5', '0xd21de902fe7ac1acc54dcc1f1bc7dbbf6fe13f0d']"
,0x2e39a66cd137ef1533d0e779332515a45d3aec86,2,48,4.0,"['0xe9cb9f9c1749b8c7e80350f58f3fc8efaca9816a', '0x8bea0dfbceb93b0bc774157a6cc6272349ea1ee4']"
,0xa1a670d5fcd74dd496a93644c11eb750b18e1526,1,13,8.0,['0x7dc4d33e3e28214751260102dc46431a7b9780d0']
,0x1e5242669ccaabe430398074a507675bbe680996,1,8,12.0,['0xf87c56ebe182ac6866c5168fb24e1beea1ffaa63']
,0x4ac9995cda14eae44a0811609aa17626e5b727a5,1,13,8.0,['0x5adb4ce193f60595d99c86040286a80f6a93541c']
,0x0c70441ab440ecc8ad8772b857e58cf8226f0eb3,1,13,8.0,['0x44e5951ce57bc86c2591801f63d62be331c1f50e']
,0x9fa7fd8d9170f0dda389922e6c956800d5149924,1,20,5.0,['0x3a2f3e3ff3556269d16fe6e07c33a0ebd0289ff0']
,0x1ae799f6a41270ed8ba9644dca1ae7f7378d7fcf,1,15,7.0,['0xcf92874ebcd0fed49dff08fce37b8c60aa528888']
,0xf89f3336368340bd8a6af2228f4a3d753b7a97a4,1,17,6.0,['0xfc78d6a90c1f1ad535d83dd828c959ab3cf2dadf']
,0x4d2ed284cb9ebaab06bc01cc1c7f824e5b161378,1,23,4.0,['0x4d2ed284cb9ebaab06bc01cc1c7f824e5b161378']
,0xe4036aca909cd049f9a7b7333961e1c1db7fb35c,1,26,4.0,['0xff36b9cb75c9178841d8b75baf9776bfa59fbe9d']
,0x644be8a25be30a21e2dffeae4fc43937fbcf3efd,1,38,3.0,['0x644be8a25be30a21e2dffeae4fc43937fbcf3efd']
,0x166fa71515d188adbf60746b45338c29214db7d3,1,40,2.0,['0x6ae8ea3d4027dfbfdbc9b2e92f2c3d24997d1faa']
,0xeb1347bc77c1405992b44e5e449ae8e6f9709495,1,6,17.0,['0x0d801699678375e43d14f67453e24f17ebbaef8a']
